Accession Number,Temp ID,Display Title,Display Artist,Creation Date,Media & Support,Credit Line,Current Location,Specific Location,Department,Council District
1982.005,,The Light Within,Jana Vander Lee,1982,"Linen, Wool",Art in Public Places Project made possible by the National Endowment for the Arts and a Conmmunity Development Block Grant,"9525 Irvington Boulevard, Houston, TX 77076",Moody Library Branch - Lobby,HPL,H
2009.001,,ART/LIFE,"Bert L. Long, Jr.",2008,Acrylic on Canvas,,"2510 Willowick Road, Houston, TX 77027",Looscan Neighborhood Library,HPL,G
2013.001,,Inner City 1996,Ibsen Espada,1996,Tempera and Acrylic on rice paper mounted on canvas,"Gift of the Museum of Fine Arts, Houston with funds provided by the Lila Wallace-Reader's Digest fund.  Additional support has been provided by the Charles E. Culpeper Foundation, the Edward and Betty Marcus Foundation, and the National Endowment for the Arts, a federal agency.","500 McKinney St. Houston, TX 77002",Central Library - Jones Building 6th Floor Storage,HPL,I
,0.001,Untitled - Children Stand on Tree,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library - Storage,HPL,B
,0.002,John E.T. Milsaps,Grace Spaulding John,1932,Oil on Canvas,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
,0.005,Untitled - Woman Seated in Chair,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library - Storage,HPL,B
,0.006,The Prophet,"Earlie Hudnall, Jr.",1980,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
,0.007,Untitled - Wedding Scene,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
,0.009,Untitled - Two Eggs in a Nest,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library - Storage,HPL,B
,0.01,Untitled - Row of Settlement Housing,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
,0.011,Untitled - Neighborhood Grocery,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
,0.014,Untitled - Horse,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
,0.017,Carnegie Columns,,1980-1984,Building fragments,,"1050 Quitman Street, Houston, TX 77009",Carnegie Branch Library - outside in adjacent park,HPL,H
,0.022,Untitled - Five Boys,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
,0.026,Untitled - Aged Man,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library - Storage,HPL,B
,0.027,Untitled - Seascape,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library - Storage,HPL,B
,0.028,Untitled - Boys Marching in a Parade,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
,0.029,Untitled - Chickens Pecking,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
,0.043,Juan Seguin Bust,,,Limestone,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
,0.044,Stephen F. Austin,John O'Brien,,Marble,Donated by Major Ingham S. Roberts,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
,0.046,Girl Seated On Bench,,,Textile,,"5300 Caroline Street, Houston, TX 77004",Clayton Geneaological Branch Library - Main House - Second Floor,HPL,D
,0.064,Mr. and Mrs. William Clayton,Floyd Embry,,Charcoal on Paper,,"5300 Caroline Street, Houston, TX 77004",Clayton Geneaological Branch Library - Stairs,HPL,D
,0.067,Belle Sherman Kendall,,Unknown,Oil on Canvas,,"14330 Memorial Dr, Houston, Texas 77079",Kendall Branch Library,HPL,G
,0.068,Arnold and Etta Hillendahl,,Unknown,Oil on Canvas,,"2436 Gessner Rd, Houston, TX 77080",Hillendahl Branch Library - Meeting room,HPL,A
,0.069,Archbishop Flores,Jose Perez,Unknown,Oil on Canvas,,"110 North Milby St.Houston, Texas 77003",Flores Branch Library,HPL,I
,0.088,Trumpeters and Young Girls Dancing - after original in the Florentine Cathedral,,,Plaster,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
,0.102,Dance of the Muses,,,Oil on Canvas,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
,0.109,Dr. Lonnie E. Smith,,,Photograph,,"3624 Scott Street, Houston, TX 77004",Smith Branch Library,HPL,D
,0.112,Mother with Sons,"Earlie Hudnall, Jr.",1973,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library - Storage,HPL,B
,0.126,J. Frank Jungman,,,Paint on Canvas,,"5830 Westheimer Road, Houston, TX 77057",Jungman Branch Library,HPL,G
,0.132,Untitled - Man and Boy,"Earlie Hudnall, Jr.",,Gelatin Silver Photograph,Art in Public Places Project made possible by the National Endowment for the Arts and a Community Development Block Grant,"5411 Pardee St. Houston, TX 77026",McKrane-Kashmere Gardens Branch Library,HPL,B
,0.206,Color Wall 2,Michael John Smith,2003,"Electronics, Lights on Metal Screen",,"7405 Stella Link Road, Houston, TX 77025",McGovern-Stella Link Branch Library - Teen room,HPL,G
,0.209,Madonna del Cardellino,,,Marble,,"1050 Quitman Street, Houston, TX 77009",Carnegie Branch Library,HPL,H
,1893.001,Sam Houston,Elisabeth Ney,1893,Plaster,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
,1904.001,Venus De Milo,,1904,Plaster reproduction/wood base,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
,1905.003,Rembrandt - after original in LOUVRE,Emma Richardson Cherry,1905,Oil on Canvas,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
,1905.004,Norma Meldrum Plaque,Thomas Hudson Jones,4/6/1905,Bronze,Donated to the Library by Mr. and Mrs. N. S. Meldrum.,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
,1906.001,Sappho,,1906,Bronze reproduction,donated by Mrs. M.T. Jones in 1906,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
,1914.001,Laura,,1914,Marble,"Donated by Mrs. Mary B. Hill in 1914 as a memorial to her daughter, Miss Abbie Hill.","500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
,1927.001,Sam Houston,Thurston J. Donnellan,1927,Oil on Canvas,,"500 McKinney St. Houston, TX 77002",Central Library - Julia Ideson Building,HPL,I
